event_date_UTC,network_code,park_code,site_name,station_code,marker_horizon_name,core_measurement_number,core_measurement_depth_mm,established_date
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,C,1,34,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,C,2,36,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,C,3,33,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,A,1,26,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,A,2,29,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,A,3,27,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,B,1,39,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,B,2,39,6/22/2009
12/1/2014,NCBN,ASIS,Marsh 11,M11-3,B,3,37,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-3,C,1,33,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-3,C,2,35,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-3,A,1,39,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-3,A,2,38,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-3,B,1,35,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-3,B,2,36,6/22/2009
4/23/2015,NCBN,ASIS,Marsh 11,M11-3,A,1,25,6/22/2009
4/23/2015,NCBN,ASIS,Marsh 11,M11-3,C,1,22,6/22/2009
4/23/2015,NCBN,ASIS,Marsh 11,M11-3,C,2,24,6/22/2009
4/23/2015,NCBN,ASIS,Marsh 11,M11-3,B,1,36,6/22/2009
4/23/2015,NCBN,ASIS,Marsh 11,M11-3,B,2,38,6/22/2009
4/23/2015,NCBN,ASIS,Marsh 11,M11-3,B,3,35,6/22/2009
12/1/2015,NCBN,ASIS,Marsh 11,M11-2,B,1,30,6/22/2009
12/1/2015,NCBN,ASIS,Marsh 11,M11-2,B,2,32,6/22/2009
12/1/2015,NCBN,ASIS,Marsh 11,M11-2,C,1,30,6/22/2009
12/1/2015,NCBN,ASIS,Marsh 11,M11-2,C,2,30,6/22/2009
12/1/2015,NCBN,ASIS,Marsh 11,M11-2,A,1,25,6/22/2009
12/1/2015,NCBN,ASIS,Marsh 11,M11-2,A,2,28,6/22/2009
12/1/2015,NCBN,ASIS,Marsh 11,M11-2,A,3,28,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,A,1,23,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,A,2,21,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,A,3,26,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,B,1,34,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,B,2,37,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,C,1,28,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,C,2,27,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-1,C,3,22,6/22/2009
3/30/2016,NCBN,ASIS,Marsh 11,M11-2,B,1,35,6/22/2009
