"event_date_UTC","network_code","park_code","site_name","station_code","SET_direction","pin_position","SET_offset_mm","pin_length_mm","pin_height_mm","set_type"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","C",2,393,762,240,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","A",9,393,762,237,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","B",1,393,762,231,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","B",4,393,762,202,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","A",1,393,762,211,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","A",4,393,762,198,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","A",7,393,762,226,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","C",7,393,762,208,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","B",4,393,762,214,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","B",7,393,762,218,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","A",4,393,762,245,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","C",1,393,762,216,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-3","C",4,393,762,215,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","C",1,393,762,221,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","C",4,393,762,231,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-3","B",1,393,762,229,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","D",1,393,762,224,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","D",4,393,762,223,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","B",1,393,762,219,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","A",1,393,762,217,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","A",4,393,762,219,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","C",7,393,762,222,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",7,393,762,260,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","A",4,393,762,244,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","A",7,393,762,254,"shallow"
